,location,price,tier,size,link,condition
97,Olivais,175000,T2,53.0,https://www.imovirtual.com/anuncio/oportunidade-apartamento-para-venda-nos-olivais-lisboa-ID11NTP.html#3600998ce9,Usado
98,Belém,525000,T3,140.0,https://www.imovirtual.com/anuncio/t3-restelo-vista-rio-areas-amplas-lareira-ID13WBN.html#3600998ce9,Renovado
99,Arroios,265000,T2,72.0,https://www.imovirtual.com/anuncio/t1-1-remodelado-na-zona-da-estefania-ID13U0M.html#3600998ce9,Usado
100,Arroios,1200000,T3,156.0,https://www.imovirtual.com/anuncio/t3-1-com-acabamentos-de-luxo-ao-saldanha-ID13TJt.html#3600998ce9,
101,Arroios,645000,T4,180.0,https://www.imovirtual.com/anuncio/apartamento-t4-1-ao-campo-martires-da-patria-ID13hvr.html#3600998ce9,Usado
102,Benfica,289000,T2,61.0,https://www.imovirtual.com/anuncio/alto-dos-moinhos-3-assoalhadas-para-venda-com-obras-a-e-ID1373j.html#3600998ce9,Em construção
103,Novas,330000,T1,57.0,https://www.imovirtual.com/anuncio/apartamento-t1-1-em-avenidas-novas-entrecampos-com-garagem-e-jardim-ID14qRh.html#3600998ce9,Novo
104,Nações,665000,T4,200.0,https://www.imovirtual.com/anuncio/espacoso-e-luminoso-apartamento-t4-com-box-e-piscina-junto-a-gare-do-ID13WCG.html#3600998ce9,Usado
105,Benfica,348000,T3,72.0,https://www.imovirtual.com/anuncio/elegante-t3-actualmente-como-t2-88-m2-remodelado-c-2-varandas-ID13U4X.html#3600998ce9,Renovado
106,Alvalade,475000,T3,115.0,https://www.imovirtual.com/anuncio/apartamento-t3-placa-alvalade-elevador-roma-areeiro-lisboa-ID14qVU.html#3600998ce9,Usado
107,António,420000,T2,80.0,https://www.imovirtual.com/anuncio/apartamento-t2-com-varanda-em-santo-antonio-com-remodelacao-total-ID14qKC.html#3600998ce9,Renovado
108,Maior,380000,T0,42.0,https://www.imovirtual.com/anuncio/apartamento-t0-zona-historica-de-lisboa-no-emblematico-chiado-a-bei-ID14qZw.html#3600998ce9,
109,Olivais,239900,T3,86.68,https://www.imovirtual.com/anuncio/apartamento-t3-nos-olivais-ID13ujA.html#3600998ce9,Renovado
110,Alcântara,735000,T3,113.0,https://www.imovirtual.com/anuncio/apartamento-t3-condominio-alcantara-residence-ID13U8y.html#3600998ce9,Usado
111,França,192500,T1,40.0,https://www.imovirtual.com/anuncio/apartamento-t1-em-80-m2-com-logradouro-arroios-ID14qOg.html#3600998ce9,Usado
112,Benfica,350000,T1,65.0,https://www.imovirtual.com/anuncio/apartamento-t1-em-benfica-com-garagem-e-arrecadacao-ID13Mh2.html#3600998ce9,Usado
113,Estrela,840000,T2,85.0,https://www.imovirtual.com/anuncio/apartamento-t2-na-rua-janelas-verdes-em-lisboa-ID13OHb.html#3600998ce9,Novo
114,Arroios,430000,T2,108.0,https://www.imovirtual.com/anuncio/apartamento-t2-1-arroios-lisboa-ID14q12.html#3600998ce9,Renovado
115,Arroios,645000,T3,195.0,https://www.imovirtual.com/anuncio/charmoso-apartamento-t3-com-195m2-na-rua-pascoal-de-melo-ID14q0W.html#3600998ce9,Usado
